"Product ID","Category","Brand","Name","Description","Rating","Review Count"
"55301","headphones","Plantronics","BackBeat Go 2, White","","3.4291934685799106","2021"
"55307","headphones","Plantronics","BackBeat GO White [89200-01] -","BackBeat GO White...","3.3060109289617485","183"
"57356","headphones","Panasonic","Panasonic RPHJE120R In-Ear Headphone, Red","Cable Length: 3.60 ft Sound Mode: Stereo Impedance...","4.342653022083402","72996"
"346123","headphones","Panasonic","Panasonic Rp-hje125 Earbuds Headphones - Stereo - Light Blue - Mini-phone - Wired - 16 Ohm - 10 Hz 24 Khz - Nickel Plated - Earbud - Binaural - In-ear - 3.61 Ft Cable (rp-hje125-z)","ErgoFit design for ultimate comfort & fit Color-matched cord & controller Neodymium magnet 9mm driver Imp: 16 Ohms Sensitivity: 97dB/mW Max input: 200mW Freq resp: 10Hz - 24kHz 3.6ft cord Includes 3 pairs of soft earpads (S/M/L) Turquoise Blue Package Con","4.8125","32"
"356381","headphones","Apple","Genuine OEM Apple iPhone 5, 6/6S Earpods","Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. This makes them more comfortable for more people than any other earbud-style headphone.","0.0","0"
"55322","headphones","Batman","Batman Kid Safe Over the Ear Headphone w/ Volume Limiter (30382)","Product Description Style: Batman...","3.649446874196038","3887"
"8219","headphones","OUTDOOR","Outdoor Technology Over-the-Head DJ Slims Bluetooth Headphones (Black)","FREE Shipping on qualified orders. Pull on the Outdoor Technology DJ Slims Wireless Headphones and hit the platters. Or just watch a movie without waking up the old lady. The 30-foot range and 8-hour battery (listening mode) mean you don't need to worry a","4.01283422459893","187"
"41","headphones","Audio-Technica","Audio-Technica ATH-M50 Professional Studio Monitor Headphones","Audio Technica ATH-M50 &bull; Collapsible Professional Studio Monitoring Enclosed Ear Headphones with Coiled Cable &bull; Exceptional Audio Quality  &bull; Closed-back Cushioned Ear-cup Design  &bull; Propriety Large-Aperture 45 mm Drivers  &bull; Neodymi","4.698149166208539","10914"
"43","headphones","Sennheiser","Sennheiser HD 380 Pro Collapsible High-End Headphone for Professional Monitoring Use","<p>The HD 380 Pro professional monitoring headphone is designed to exceed the demands of the professional environment. The HD 380 Pro provides an extended frequency response with increased sound pressure level (up to 110 dB) for accurate sound reproductio","4.391943127962086","1688"
"505900","headphones","Plantronics","PLANTRONICS 81961-11 81961-11 USB Stereo Headse","The Plantronics Audio 648 USB Noise-Cancelling Headset has a discrete, low profile design that's perfect for video chats. This Plantronics Noise Cancelling Headset is Skype Certified for a better chatting experience. Answer and end Skype calls from the Pl","3.857142857142857","21"
